dataset,optimization_goal,threshold,accuracy,ai_precision,ai_recall,ai_f1,nonai_precision,nonai_recall,nonai_f1,true_negatives,false_positives,false_negatives,true_positives
ood_arxiv_ai_papers_positive,Current (0.5),0.5,0.9728260869565217,1.0,0.9728260869565217,0.9862258953168044,0.0,0.0,0.0,0.0,0.0,85.0,3043.0
ood_arxiv_ai_papers_positive,Best Recall,0.1,0.9996803069053708,1.0,0.9996803069053708,0.9998401278976818,0.0,0.0,0.0,0.0,0.0,1.0,3127.0
ood_arxiv_ai_papers_positive,Best F1,0.1,0.9996803069053708,1.0,0.9996803069053708,0.9998401278976818,0.0,0.0,0.0,0.0,0.0,1.0,3127.0
ood_arxiv_ai_papers_positive,Best Accuracy,0.1,0.9996803069053708,1.0,0.9996803069053708,0.9998401278976818,0.0,0.0,0.0,0.0,0.0,1.0,3127.0
ood_arxiv_ai_papers_positive,Best Precision at ≥90% Recall,0.1,0.9996803069053708,1.0,0.9996803069053708,0.9998401278976818,0.0,0.0,0.0,0.0,0.0,1.0,3127.0
in_dist_positive,Current (0.5),0.5,0.8268460854092526,1.0,0.8268460854092526,0.9052170207585073,0.0,0.0,0.0,0.0,0.0,3114.0,14870.0
in_dist_positive,Best Recall,0.1,0.9630782918149466,1.0,0.9630782918149466,0.9811919329254476,0.0,0.0,0.0,0.0,0.0,664.0,17320.0
in_dist_positive,Best F1,0.1,0.9630782918149466,1.0,0.9630782918149466,0.9811919329254476,0.0,0.0,0.0,0.0,0.0,664.0,17320.0
in_dist_positive,Best Accuracy,0.1,0.9630782918149466,1.0,0.9630782918149466,0.9811919329254476,0.0,0.0,0.0,0.0,0.0,664.0,17320.0
in_dist_positive,Best Precision at ≥90% Recall,0.1,0.9630782918149466,1.0,0.9630782918149466,0.9811919329254476,0.0,0.0,0.0,0.0,0.0,664.0,17320.0
